# ----------------------------------------
# Основной
# Статистика по пользователям
# 20170501-20170618
# ----------------------------------------

Идентификатор клиента,Сеансы,Сред. длительность сеанса,Показатель отказов,Доход,Транзакции,Коэффициент конверсии цели
1200916109.1493708854,2,00:00:52,"0,00 %","0,00 ₽",0,"0,00 %"
1240113070.1495719589,2,00:02:51,"0,00 %","0,00 ₽",0,"50,00 %"
1245676946.1496159972,2,00:00:21,"0,00 %","0,00 ₽",0,"0,00 %"
1255217062.1493765386,2,00:00:49,"0,00 %","0,00 ₽",0,"0,00 %"
1266382906.1489762938,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1313435235.1495466142,2,00:01:03,"0,00 %","0,00 ₽",0,"50,00 %"
1350913434.1496845451,2,00:01:15,"0,00 %","0,00 ₽",0,"0,00 %"
1352250313.1495117653,2,00:00:48,"0,00 %","0,00 ₽",0,"0,00 %"
1378986000.1496415197,2,00:01:24,"0,00 %","0,00 ₽",0,"50,00 %"
1383658774.1495099834,2,00:00:17,"0,00 %","0,00 ₽",0,"50,00 %"
1386197254.1495647969,2,00:04:51,"0,00 %","0,00 ₽",0,"0,00 %"
1398677645.1494537515,2,00:16:40,"0,00 %","0,00 ₽",0,"0,00 %"
1411616995.1496398192,2,00:00:22,"0,00 %","0,00 ₽",0,"0,00 %"
1413084848.1496650404,2,00:00:18,"0,00 %","0,00 ₽",0,"0,00 %"
1426300256.1495527408,2,00:00:23,"0,00 %","0,00 ₽",0,"0,00 %"
1431792622.1496405156,2,00:05:12,"0,00 %","0,00 ₽",0,"100,00 %"
1441253939.1495376335,2,00:00:12,"50,00 %","0,00 ₽",0,"0,00 %"
1455000954.1491138139,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
1455505637.1495382916,2,00:01:27,"0,00 %","0,00 ₽",0,"50,00 %"
146193801.1493543780,2,00:00:33,"0,00 %","0,00 ₽",0,"0,00 %"
1464263721.1495210706,2,00:08:12,"0,00 %","0,00 ₽",0,"0,00 %"
1486967895.1496157801,2,00:00:43,"50,00 %","0,00 ₽",0,"0,00 %"
1501840225.1495168005,2,00:00:07,"50,00 %","0,00 ₽",0,"0,00 %"
1506800838.1494608763,2,00:12:46,"50,00 %","0,00 ₽",0,"0,00 %"
1518179968.1495771574,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
1549216252.1493711138,2,00:00:22,"0,00 %","0,00 ₽",0,"0,00 %"
1550973134.1494949958,2,00:00:18,"0,00 %","0,00 ₽",0,"0,00 %"
1551913308.1496648941,2,00:00:04,"50,00 %","0,00 ₽",0,"50,00 %"
1555930132.1493744653,2,00:07:47,"0,00 %","0,00 ₽",0,"0,00 %"
1558270812.1496915584,2,00:00:47,"0,00 %","0,00 ₽",0,"0,00 %"
1579725389.1495151112,2,00:03:47,"0,00 %","0,00 ₽",0,"100,00 %"
1583193779.1493758440,2,00:01:48,"0,00 %","0,00 ₽",0,"50,00 %"
1589617739.1495641739,2,00:00:45,"0,00 %","0,00 ₽",0,"50,00 %"
1590922368.1495746653,2,00:00:06,"50,00 %","0,00 ₽",0,"0,00 %"
1602138655.1494424707,2,00:00:45,"50,00 %","0,00 ₽",0,"0,00 %"
1635881518.1495642081,2,00:01:39,"0,00 %","0,00 ₽",0,"50,00 %"
1654575569.1494606717,2,00:06:46,"0,00 %","0,00 ₽",0,"0,00 %"
1655190706.1494521096,2,00:00:37,"0,00 %","0,00 ₽",0,"0,00 %"
165572319.1495680507,2,00:00:07,"50,00 %","0,00 ₽",0,"0,00 %"
1718692472.1494583365,2,00:00:07,"50,00 %","0,00 ₽",0,"0,00 %"
1724357281.1495108207,2,00:03:40,"0,00 %","0,00 ₽",0,"0,00 %"
1727380362.1488207493,2,00:00:08,"0,00 %","0,00 ₽",0,"0,00 %"
172751046.1493753807,2,00:03:55,"0,00 %","0,00 ₽",0,"0,00 %"
1758001143.1495449573,2,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
176037605.1493805364,2,00:00:13,"0,00 %","0,00 ₽",0,"0,00 %"
1763776227.1495455099,2,00:02:19,"0,00 %","0,00 ₽",0,"50,00 %"
1766621136.1495016628,2,00:05:23,"0,00 %","0,00 ₽",0,"0,00 %"
1768602208.1495035298,2,00:04:53,"0,00 %","0,00 ₽",0,"0,00 %"
1784463171.1495529801,2,00:00:42,"50,00 %","0,00 ₽",0,"0,00 %"
1804551501.1495462506,2,00:01:22,"0,00 %","0,00 ₽",0,"50,00 %"
181955161.1480931591,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1833241743.1494415260,2,00:05:34,"0,00 %","0,00 ₽",0,"0,00 %"
1873051095.1493719495,2,00:11:29,"0,00 %","0,00 ₽",0,"0,00 %"
1880381798.1494585057,2,00:00:30,"0,00 %","0,00 ₽",0,"0,00 %"
1888148596.1491728091,2,00:00:57,"0,00 %","0,00 ₽",0,"0,00 %"
190262474.1495449239,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
