# ----------------------------------------
# Основной
# Статистика по пользователям
# 20170501-20170618
# ----------------------------------------

Идентификатор клиента,Сеансы,Сред. длительность сеанса,Показатель отказов,Доход,Транзакции,Коэффициент конверсии цели
1032207017.1497081492,1,00:03:50,"0,00 %","0,00 ₽",0,"0,00 %"
1035575625.1495195937,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1035708775.1495918113,1,00:00:35,"0,00 %","0,00 ₽",0,"0,00 %"
1036141983.1496586737,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
103617990.1496931912,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1050404535.1495191181,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1050998141.1497450522,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1051663027.1495602359,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1059369043.1496754522,1,00:04:32,"0,00 %","0,00 ₽",0,"0,00 %"
1062472613.1496130930,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1070026691.1494517927,1,00:02:01,"0,00 %","0,00 ₽",0,"0,00 %"
1073939170.1497472263,1,00:00:38,"0,00 %","0,00 ₽",0,"0,00 %"
1076854494.1485374136,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1080224331.1496956341,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1089215736.1494756112,1,00:00:16,"0,00 %","0,00 ₽",0,"0,00 %"
1092936278.1494681602,1,00:00:23,"0,00 %","0,00 ₽",0,"0,00 %"
1095216599.1494517444,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1100125712.1497194828,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
110683104.1494115553,1,00:16:20,"0,00 %","0,00 ₽",0,"0,00 %"
1113822907.1495648253,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1121093755.1497773531,1,00:00:20,"0,00 %","0,00 ₽",0,"0,00 %"
1125067008.1475694042,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1125780867.1494539405,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1135156304.1497704679,1,00:00:12,"0,00 %","0,00 ₽",0,"0,00 %"
114499760.1496942470,1,00:01:54,"0,00 %","0,00 ₽",0,"0,00 %"
1158454788.1493991649,1,00:00:42,"0,00 %","0,00 ₽",0,"0,00 %"
115953387.1497751346,1,00:00:12,"0,00 %","0,00 ₽",0,"0,00 %"
1166854961.1497819090,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
117141759.1496824716,1,00:03:09,"0,00 %","0,00 ₽",0,"0,00 %"
1173974023.1493735296,1,00:00:27,"0,00 %","0,00 ₽",0,"0,00 %"
1181939893.1493844893,1,00:04:52,"0,00 %","0,00 ₽",0,"0,00 %"
1183175767.1496861618,1,00:07:15,"0,00 %","0,00 ₽",0,"0,00 %"
1198312386.1497632119,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1203130651.1495399515,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1216373841.1496437264,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1216909193.1495530337,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1217134287.1497771290,1,00:00:59,"0,00 %","0,00 ₽",0,"0,00 %"
1221853285.1496744864,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1225525586.1496258269,1,00:00:37,"0,00 %","0,00 ₽",0,"0,00 %"
1228237097.1497397349,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1229767062.1482464485,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1233681316.1496179446,1,00:02:21,"0,00 %","0,00 ₽",0,"0,00 %"
1235246401.1497730111,1,00:00:08,"0,00 %","0,00 ₽",0,"0,00 %"
1237582472.1496224838,1,00:00:36,"0,00 %","0,00 ₽",0,"100,00 %"
1239829409.1494012731,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1239999199.1495108840,1,00:00:12,"0,00 %","0,00 ₽",0,"0,00 %"
1250737302.1494522927,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1273452952.1496773664,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1273947978.1494683507,1,00:18:07,"0,00 %","0,00 ₽",0,"100,00 %"
1277447005.1494915855,1,00:01:59,"0,00 %","0,00 ₽",0,"0,00 %"
1278707172.1497086899,1,00:00:20,"0,00 %","0,00 ₽",0,"0,00 %"
1280925443.1495261797,1,00:06:28,"0,00 %","0,00 ₽",0,"0,00 %"
1287153616.1497421640,1,00:00:58,"0,00 %","0,00 ₽",0,"0,00 %"
1290092287.1496984648,1,00:07:41,"0,00 %","0,00 ₽",0,"0,00 %"
1295039343.1494009430,1,00:00:13,"0,00 %","0,00 ₽",0,"0,00 %"
1304165066.1496694245,1,00:02:16,"0,00 %","0,00 ₽",0,"0,00 %"
1304367682.1493934069,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1306291938.1497520967,1,00:00:36,"0,00 %","0,00 ₽",0,"0,00 %"
1315168802.1494758448,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1321686643.1496745909,1,00:00:58,"0,00 %","0,00 ₽",0,"0,00 %"
1323531121.1495918487,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1323830256.1493812722,1,00:00:19,"0,00 %","0,00 ₽",0,"0,00 %"
1327288114.1495719871,1,00:00:33,"0,00 %","0,00 ₽",0,"0,00 %"
1332044220.1495172671,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1332085580.1495262218,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1345933221.1494955164,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1349262938.1496741641,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1349982368.1495198282,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1350039032.1496581421,1,00:00:41,"0,00 %","0,00 ₽",0,"0,00 %"
1354564192.1496746553,1,00:01:15,"0,00 %","0,00 ₽",0,"0,00 %"
1357466650.1494610766,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1367359370.1495138618,1,00:01:40,"0,00 %","0,00 ₽",0,"100,00 %"
1367496086.1496409872,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1367562117.1495314710,1,00:00:16,"0,00 %","0,00 ₽",0,"100,00 %"
1371386985.1494511917,1,00:00:13,"0,00 %","0,00 ₽",0,"0,00 %"
1371904304.1494948477,1,00:06:50,"0,00 %","0,00 ₽",0,"100,00 %"
1373408419.1494829402,1,00:00:35,"0,00 %","0,00 ₽",0,"0,00 %"
137783995.1496641860,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1382178363.1496265275,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1384891022.1497094481,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1392768055.1496305346,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1394574330.1494681360,1,00:01:00,"0,00 %","0,00 ₽",0,"0,00 %"
1395399666.1497450106,1,00:02:28,"0,00 %","0,00 ₽",0,"0,00 %"
1399723197.1496598175,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
