# ----------------------------------------
# Основной
# Статистика по пользователям
# 20170501-20170618
# ----------------------------------------

Идентификатор клиента,Сеансы,Сред. длительность сеанса,Показатель отказов,Доход,Транзакции,Коэффициент конверсии цели
2004566493.1496383147,2,00:05:05,"0,00 %","0,00 ₽",0,"50,00 %"
2067469576.1493711489,2,00:23:53,"0,00 %","0,00 ₽",0,"100,00 %"
2082278265.1494946678,2,00:00:59,"0,00 %","0,00 ₽",0,"50,00 %"
209495195.1482343534,2,00:00:13,"0,00 %","0,00 ₽",0,"0,00 %"
2104204086.1494991146,2,00:02:20,"0,00 %","0,00 ₽",0,"0,00 %"
2145265418.1492594442,2,00:04:05,"0,00 %","0,00 ₽",0,"50,00 %"
2147070733.1492259323,2,00:04:11,"0,00 %","0,00 ₽",0,"50,00 %"
219486012.1446705463,2,00:07:20,"0,00 %","0,00 ₽",0,"0,00 %"
250479913.1495135921,2,00:00:30,"0,00 %","0,00 ₽",0,"0,00 %"
2573527.1495874694,2,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
285886629.1495698682,2,00:00:58,"0,00 %","0,00 ₽",0,"50,00 %"
309048231.1496302459,2,00:04:09,"0,00 %","0,00 ₽",0,"50,00 %"
371942019.1474290607,2,00:02:10,"0,00 %","0,00 ₽",0,"0,00 %"
392434517.1496758455,2,00:00:17,"0,00 %","0,00 ₽",0,"0,00 %"
447392566.1496217235,2,00:01:27,"0,00 %","0,00 ₽",0,"0,00 %"
458714245.1495702783,2,00:00:19,"0,00 %","0,00 ₽",0,"0,00 %"
512944058.1495805925,2,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
513238943.1496673053,2,00:03:53,"0,00 %","0,00 ₽",0,"0,00 %"
523779839.1496564962,2,00:00:21,"0,00 %","0,00 ₽",0,"0,00 %"
536658553.1495030466,2,00:00:18,"0,00 %","0,00 ₽",0,"0,00 %"
553395944.1480304562,2,00:00:19,"0,00 %","0,00 ₽",0,"0,00 %"
571270011.1494345824,2,00:02:38,"0,00 %","0,00 ₽",0,"0,00 %"
613808072.1496229623,2,00:00:56,"0,00 %","0,00 ₽",0,"0,00 %"
619574710.1496393653,2,00:18:54,"0,00 %","0,00 ₽",0,"50,00 %"
69691807.1486401669,2,00:00:21,"0,00 %","0,00 ₽",0,"0,00 %"
806885473.1493640597,2,00:01:04,"0,00 %","0,00 ₽",0,"0,00 %"
817351965.1494442544,2,00:09:17,"0,00 %","0,00 ₽",0,"0,00 %"
834551489.1494395834,2,00:15:49,"0,00 %","0,00 ₽",0,"0,00 %"
83533960.1494934506,2,00:00:49,"0,00 %","0,00 ₽",0,"0,00 %"
883540416.1493522460,2,00:01:05,"0,00 %","0,00 ₽",0,"0,00 %"
897290911.1496752447,2,00:01:20,"0,00 %","0,00 ₽",0,"0,00 %"
90077574.1495778123,2,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
917497384.1494644732,2,00:00:50,"50,00 %","0,00 ₽",0,"0,00 %"
948410574.1494945591,2,00:03:03,"50,00 %","0,00 ₽",0,"50,00 %"
951708740.1496641497,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
6c16ae65-83e5-41a1-9116-74dbe85ab419,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
5ccd30cf-209d-4509-9fb2-4453b0c0397f,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
9823a2fb-dc8a-4dc8-acbe-05e056887731,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
02b0c08e-5cf5-4bb8-ba54-16fc93804c47,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1002836777.1495128655,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1004220535.1495264122,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1004759694.1494306005,1,00:02:58,"0,00 %","0,00 ₽",0,"0,00 %"
1015681881.1495271970,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1016751528.1495041027,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
103162762.1496190750,1,00:00:08,"0,00 %","0,00 ₽",0,"0,00 %"
1039224975.1495513818,1,00:00:10,"0,00 %","0,00 ₽",0,"0,00 %"
1039594659.1495469088,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1041300428.1493805018,1,00:00:46,"0,00 %","0,00 ₽",0,"0,00 %"
1051996600.1494573505,1,00:00:35,"0,00 %","0,00 ₽",0,"0,00 %"
1054409451.1492867003,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1064244459.1496997907,1,00:00:22,"0,00 %","0,00 ₽",0,"0,00 %"
1071111455.1494201579,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1075674738.1496485416,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1092766501.1490905366,1,00:03:42,"0,00 %","0,00 ₽",0,"0,00 %"
1092985082.1494083109,1,00:00:16,"0,00 %","0,00 ₽",0,"0,00 %"
1101257095.1496569166,1,00:01:31,"0,00 %","0,00 ₽",0,"0,00 %"
1101693027.1495442975,1,00:02:11,"0,00 %","0,00 ₽",0,"0,00 %"
110198370.1496858685,1,00:00:05,"0,00 %","0,00 ₽",0,"0,00 %"
1103024676.1494410038,1,00:00:52,"0,00 %","0,00 ₽",0,"0,00 %"
1119759959.1495002787,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
112262703.1497778407,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1122680411.1495279336,1,00:03:36,"0,00 %","0,00 ₽",0,"0,00 %"
1124742237.1495614670,1,00:00:21,"0,00 %","0,00 ₽",0,"0,00 %"
1130396462.1479635998,1,00:00:13,"0,00 %","0,00 ₽",0,"0,00 %"
113331758.1495949070,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1140013888.1497530994,1,00:00:04,"0,00 %","0,00 ₽",0,"0,00 %"
1155639281.1495452907,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
116274185.1496615598,1,00:05:13,"0,00 %","0,00 ₽",0,"0,00 %"
1170874385.1496453514,1,00:12:44,"0,00 %","0,00 ₽",0,"0,00 %"
1170981505.1496812766,1,00:00:56,"0,00 %","0,00 ₽",0,"0,00 %"
1171584545.1496136071,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1173974023.1493735296,1,00:00:27,"0,00 %","0,00 ₽",0,"0,00 %"
1174142716.1493842767,1,00:00:36,"0,00 %","0,00 ₽",0,"0,00 %"
1178622293.1497411119,1,00:00:06,"0,00 %","0,00 ₽",0,"0,00 %"
1186269733.1496548229,1,00:07:53,"0,00 %","0,00 ₽",0,"0,00 %"
1190984175.1495803844,1,00:00:09,"0,00 %","0,00 ₽",0,"0,00 %"
119314998.1496757060,1,00:00:42,"0,00 %","0,00 ₽",0,"0,00 %"
119404170.1495729873,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1194796611.1496123156,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1199609878.1496314180,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1201992502.1494813459,1,00:06:56,"0,00 %","0,00 ₽",0,"0,00 %"
1204414526.1497425530,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
121609908.1493611649,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1216373841.1496437264,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1216482399.1495094766,1,00:31:08,"0,00 %","0,00 ₽",0,"0,00 %"
1219272687.1495895381,1,00:00:28,"0,00 %","0,00 ₽",0,"0,00 %"
1221964169.1495109684,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1221982444.1494880320,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1223743340.1497158790,1,00:07:25,"0,00 %","0,00 ₽",0,"0,00 %"
122662007.1494833237,1,00:00:28,"0,00 %","0,00 ₽",0,"0,00 %"
1226625535.1495890175,1,00:00:05,"0,00 %","0,00 ₽",0,"0,00 %"
1230832105.1495208630,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1232144749.1496756433,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1233338415.1495741698,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1238199542.1497445312,1,00:00:11,"0,00 %","0,00 ₽",0,"0,00 %"
1239999199.1495108840,1,00:00:12,"0,00 %","0,00 ₽",0,"0,00 %"
1241814449.1490735135,1,00:00:23,"0,00 %","0,00 ₽",0,"0,00 %"
1244273095.1489311345,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1245778455.1495819006,1,00:00:03,"0,00 %","0,00 ₽",0,"0,00 %"
1246345743.1497514596,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
124695407.1496067745,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1248981609.1494952745,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1254343124.1496250323,1,00:05:40,"0,00 %","0,00 ₽",0,"100,00 %"
1259499866.1495646841,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1261761202.1495203133,1,00:00:09,"0,00 %","0,00 ₽",0,"0,00 %"
1267935912.1496325744,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1272933876.1497243449,1,00:03:36,"0,00 %","0,00 ₽",0,"0,00 %"
1274677046.1496328063,1,00:00:13,"0,00 %","0,00 ₽",0,"0,00 %"
1279939008.1495140354,1,00:00:12,"0,00 %","0,00 ₽",0,"0,00 %"
1281485354.1496495772,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1289700840.1493843490,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1291372390.1496772899,1,00:01:17,"0,00 %","0,00 ₽",0,"100,00 %"
1292538081.1495811341,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1305210173.1496143174,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1307760927.1496162757,1,00:00:05,"0,00 %","0,00 ₽",0,"0,00 %"
1316763174.1495705551,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1318931609.1493712910,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1323009346.1495983099,1,00:00:11,"0,00 %","0,00 ₽",0,"0,00 %"
1326315262.1494506249,1,00:01:26,"0,00 %","0,00 ₽",0,"0,00 %"
1340375456.1497739390,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1346910720.1496534296,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1355086914.1497444467,1,00:00:12,"0,00 %","0,00 ₽",0,"0,00 %"
1355924241.1494109622,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1355934485.1495991384,1,00:00:57,"0,00 %","0,00 ₽",0,"0,00 %"
1361364422.1497789621,1,00:50:49,"0,00 %","0,00 ₽",0,"100,00 %"
1363348779.1494491395,1,00:00:16,"0,00 %","0,00 ₽",0,"0,00 %"
1369743761.1497538561,1,00:00:22,"0,00 %","0,00 ₽",0,"0,00 %"
1373408419.1494829402,1,00:00:35,"0,00 %","0,00 ₽",0,"0,00 %"
1389240045.1495298096,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1390455066.1497081135,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1390462311.1495272286,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1396408085.1496564738,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1398959802.1494840580,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1413584020.1496215099,1,00:24:49,"0,00 %","0,00 ₽",0,"0,00 %"
1414713612.1493888497,1,00:07:07,"0,00 %","0,00 ₽",0,"0,00 %"
1416119464.1494045422,1,00:00:13,"0,00 %","0,00 ₽",0,"0,00 %"
1416507669.1494621619,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1418976676.1495642630,1,00:00:12,"0,00 %","0,00 ₽",0,"0,00 %"
1437821004.1495276054,1,00:00:50,"0,00 %","0,00 ₽",0,"0,00 %"
143939132.1496827297,1,00:08:58,"0,00 %","0,00 ₽",0,"0,00 %"
1442178550.1496842672,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1454543019.1496490944,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1455596014.1495851253,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1460248761.1495789905,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1467016742.1493907382,1,00:01:34,"0,00 %","0,00 ₽",0,"0,00 %"
1468969857.1496638752,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1472295618.1497021103,1,00:00:13,"0,00 %","0,00 ₽",0,"0,00 %"
1477727437.1497764694,1,00:00:12,"0,00 %","0,00 ₽",0,"0,00 %"
1483320253.1495790349,1,00:00:23,"0,00 %","0,00 ₽",0,"0,00 %"
148698825.1496642066,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1488527082.1493811530,1,00:05:14,"0,00 %","0,00 ₽",0,"0,00 %"
1490166147.1494488903,1,00:00:21,"0,00 %","0,00 ₽",0,"0,00 %"
1493001409.1495722167,1,00:04:58,"0,00 %","0,00 ₽",0,"0,00 %"
1493290189.1495762344,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1497883746.1496563259,1,00:07:14,"0,00 %","0,00 ₽",0,"0,00 %"
1501057000.1496842879,1,00:00:12,"0,00 %","0,00 ₽",0,"0,00 %"
1501251498.1494685450,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1503067204.1495472821,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1506408797.1495473314,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1509982416.1493782313,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1513303415.1495587252,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1517387471.1495311188,1,00:09:29,"0,00 %","0,00 ₽",0,"0,00 %"
15176822.1495711543,1,00:01:52,"0,00 %","0,00 ₽",0,"100,00 %"
1517902079.1496347073,1,00:00:13,"0,00 %","0,00 ₽",0,"0,00 %"
1520777678.1483956121,1,00:02:22,"0,00 %","0,00 ₽",0,"0,00 %"
1523536047.1496591702,1,00:00:13,"0,00 %","0,00 ₽",0,"0,00 %"
1524442844.1496729123,1,00:01:30,"0,00 %","0,00 ₽",0,"0,00 %"
1535793230.1496352456,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
153976118.1497193512,1,00:00:26,"0,00 %","0,00 ₽",0,"0,00 %"
1547074167.1496149444,1,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1552911101.1496653567,1,00:05:04,"0,00 %","0,00 ₽",0,"0,00 %"
1556883767.1496826442,1,00:00:31,"0,00 %","0,00 ₽",0,"0,00 %"
1562904210.1495093625,1,00:00:16,"0,00 %","0,00 ₽",0,"0,00 %"
1571553887.1496216205,1,00:02:42,"0,00 %","0,00 ₽",0,"0,00 %"
157245303.1497452855,1,00:00:12,"0,00 %","0,00 ₽",0,"0,00 %"
1578327357.1493963212,1,00:01:30,"0,00 %","0,00 ₽",0,"0,00 %"
158110494.1494936468,1,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1584810668.1496340481,1,00:00:11,"0,00 %","0,00 ₽",0,"0,00 %"
1591540972.1497084176,1,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1592244132.1492439668,1,00:01:12,"0,00 %","0,00 ₽",0,"0,00 %"
