# ----------------------------------------
# Основной
# Статистика по пользователям
# 20170501-20170618
# ----------------------------------------

Идентификатор клиента,Сеансы,Сред. длительность сеанса,Показатель отказов,Доход,Транзакции,Коэффициент конверсии цели
2060177772.1494404411,3,00:00:26,"0,00 %","0,00 ₽",0,"0,00 %"
2098654274.1495053373,3,00:06:35,"0,00 %","0,00 ₽",0,"0,00 %"
2104266786.1494239541,3,00:00:44,"0,00 %","0,00 ₽",0,"0,00 %"
213984198.1496581509,3,00:02:12,"0,00 %","0,00 ₽",0,"0,00 %"
228437455.1494342848,3,00:14:02,"0,00 %","0,00 ₽",0,"0,00 %"
235534940.1496696403,3,00:01:15,"0,00 %","0,00 ₽",0,"0,00 %"
238123353.1495809466,3,00:01:32,"0,00 %","0,00 ₽",0,"0,00 %"
239646909.1465391951,3,00:20:13,"33,33 %","0,00 ₽",0,"0,00 %"
263078183.1484299284,3,00:04:01,"0,00 %","0,00 ₽",0,"0,00 %"
346171243.1496871039,3,00:04:53,"33,33 %","0,00 ₽",0,"0,00 %"
447375339.1493787668,3,00:00:18,"33,33 %","0,00 ₽",0,"0,00 %"
464596965.1496261616,3,00:00:10,"33,33 %","0,00 ₽",0,"0,00 %"
5033454.1495665115,3,00:00:49,"0,00 %","0,00 ₽",0,"0,00 %"
511571473.1495138399,3,00:01:08,"33,33 %","0,00 ₽",0,"0,00 %"
524076773.1495868831,3,00:00:41,"0,00 %","0,00 ₽",0,"0,00 %"
59608812.1493720245,3,00:06:00,"33,33 %","0,00 ₽",0,"33,33 %"
600241586.1493748955,3,00:12:05,"0,00 %","0,00 ₽",0,"0,00 %"
617853102.1497260147,3,00:00:52,"0,00 %","0,00 ₽",0,"0,00 %"
668526223.1497441605,3,00:06:04,"0,00 %","0,00 ₽",0,"0,00 %"
728135496.1485518060,3,00:11:56,"0,00 %","0,00 ₽",0,"0,00 %"
74888588.1494675783,3,00:01:43,"0,00 %","0,00 ₽",0,"0,00 %"
795805009.1495916095,3,00:02:33,"0,00 %","0,00 ₽",0,"0,00 %"
905705610.1494968353,3,00:02:00,"0,00 %","0,00 ₽",0,"0,00 %"
919267609.1493902021,3,00:13:14,"33,33 %","0,00 ₽",0,"33,33 %"
994670587.1494354200,3,00:30:03,"0,00 %","0,00 ₽",0,"0,00 %"
1006497878.1495701156,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
101896661.1495104743,2,00:00:23,"0,00 %","0,00 ₽",0,"0,00 %"
1036548183.1494861767,2,00:01:06,"0,00 %","0,00 ₽",0,"0,00 %"
1036551979.1494534146,2,00:00:35,"50,00 %","0,00 ₽",0,"0,00 %"
1044420057.1496750411,2,00:00:56,"0,00 %","0,00 ₽",0,"0,00 %"
1051911230.1487070999,2,00:02:31,"0,00 %","0,00 ₽",0,"0,00 %"
1056699791.1496905745,2,00:00:29,"0,00 %","0,00 ₽",0,"0,00 %"
1092665679.1497205810,2,00:00:12,"0,00 %","0,00 ₽",0,"0,00 %"
1097663984.1496346627,2,00:00:15,"0,00 %","0,00 ₽",0,"100,00 %"
1103745982.1497800349,2,00:00:11,"50,00 %","0,00 ₽",0,"0,00 %"
1104106450.1495027677,2,00:01:20,"50,00 %","0,00 ₽",0,"0,00 %"
1118768377.1495198573,2,00:06:30,"0,00 %","0,00 ₽",0,"0,00 %"
1126295855.1474972266,2,00:04:03,"0,00 %","0,00 ₽",0,"0,00 %"
113209317.1497529969,2,00:13:12,"0,00 %","0,00 ₽",0,"0,00 %"
1135589851.1494568824,2,00:00:18,"0,00 %","0,00 ₽",0,"0,00 %"
1143567355.1497773148,2,00:00:08,"0,00 %","0,00 ₽",0,"50,00 %"
1147998288.1496149758,2,00:00:06,"0,00 %","0,00 ₽",0,"50,00 %"
1150086513.1449502596,2,00:00:11,"0,00 %","0,00 ₽",0,"0,00 %"
1151506492.1496338784,2,00:00:07,"50,00 %","0,00 ₽",0,"0,00 %"
1154160463.1494533486,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
1186857784.1494409430,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1190246736.1494247387,2,00:08:13,"0,00 %","0,00 ₽",0,"0,00 %"
120705856.1496736475,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1215852842.1493699314,2,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1216906202.1496258424,2,00:01:15,"50,00 %","0,00 ₽",0,"0,00 %"
1218746736.1493037016,2,00:06:41,"0,00 %","0,00 ₽",0,"0,00 %"
1224462628.1494602230,2,00:05:01,"50,00 %","0,00 ₽",0,"0,00 %"
1225095512.1497508532,2,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1235543136.1494407032,2,00:00:18,"0,00 %","0,00 ₽",0,"0,00 %"
1266382906.1489762938,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1278417273.1496085716,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
1283684214.1493624512,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
129534229.1497446468,2,00:00:26,"0,00 %","0,00 ₽",0,"0,00 %"
1296811399.1497640540,2,00:00:13,"0,00 %","0,00 ₽",0,"0,00 %"
1305884573.1494515245,2,00:12:39,"0,00 %","0,00 ₽",0,"0,00 %"
1306787543.1494593405,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1310355278.1496821379,2,00:11:45,"0,00 %","0,00 ₽",0,"0,00 %"
1313370866.1494681357,2,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1320923513.1494925638,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1329788700.1482749494,2,00:02:04,"0,00 %","0,00 ₽",0,"0,00 %"
1338194422.1494007362,2,00:05:54,"0,00 %","0,00 ₽",0,"0,00 %"
1346264324.1497046834,2,00:00:59,"0,00 %","0,00 ₽",0,"0,00 %"
1356888237.1494513186,2,00:01:03,"0,00 %","0,00 ₽",0,"0,00 %"
1378986000.1496415197,2,00:01:24,"0,00 %","0,00 ₽",0,"50,00 %"
1385327444.1494513806,2,00:00:09,"0,00 %","0,00 ₽",0,"0,00 %"
1390528537.1496045419,2,00:00:59,"0,00 %","0,00 ₽",0,"0,00 %"
1394852164.1494823870,2,00:00:12,"0,00 %","0,00 ₽",0,"0,00 %"
1439105620.1495965691,2,00:26:59,"0,00 %","0,00 ₽",0,"0,00 %"
1440001070.1496497818,2,00:06:23,"0,00 %","0,00 ₽",0,"50,00 %"
1446115537.1496681143,2,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1451646570.1495101911,2,00:15:20,"0,00 %","0,00 ₽",0,"50,00 %"
1455505637.1495382916,2,00:01:27,"0,00 %","0,00 ₽",0,"50,00 %"
1463429832.1494268341,2,00:03:22,"0,00 %","0,00 ₽",0,"0,00 %"
1475556041.1496322713,2,00:04:48,"50,00 %","0,00 ₽",0,"0,00 %"
1475917110.1494834230,2,00:03:36,"0,00 %","0,00 ₽",0,"0,00 %"
1486967895.1496157801,2,00:00:43,"50,00 %","0,00 ₽",0,"0,00 %"
1499841817.1495096010,2,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1550755817.1493968493,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
1550973134.1494949958,2,00:00:18,"0,00 %","0,00 ₽",0,"0,00 %"
155927093.1495701929,2,00:02:37,"0,00 %","0,00 ₽",0,"0,00 %"
1613955444.1495045604,2,00:03:24,"0,00 %","0,00 ₽",0,"0,00 %"
163916268.1495647826,2,00:02:52,"0,00 %","0,00 ₽",0,"0,00 %"
1642236117.1494539601,2,00:04:58,"0,00 %","0,00 ₽",0,"50,00 %"
1653119279.1496257664,2,00:04:36,"0,00 %","0,00 ₽",0,"0,00 %"
1697067230.1497604141,2,00:00:27,"0,00 %","0,00 ₽",0,"50,00 %"
170321243.1495446542,2,00:00:11,"0,00 %","0,00 ₽",0,"0,00 %"
1710901406.1494284057,2,00:00:16,"0,00 %","0,00 ₽",0,"0,00 %"
1718513322.1470121270,2,00:06:31,"0,00 %","0,00 ₽",0,"0,00 %"
1724357281.1495108207,2,00:03:40,"0,00 %","0,00 ₽",0,"0,00 %"
172751046.1493753807,2,00:03:55,"0,00 %","0,00 ₽",0,"0,00 %"
1763776227.1495455099,2,00:02:19,"0,00 %","0,00 ₽",0,"50,00 %"
1775587205.1496849812,2,00:01:26,"50,00 %","0,00 ₽",0,"50,00 %"
1795730397.1494965613,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
1814970917.1493986453,2,00:01:44,"0,00 %","0,00 ₽",0,"50,00 %"
181955161.1480931591,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
1833241743.1494415260,2,00:05:34,"0,00 %","0,00 ₽",0,"0,00 %"
1847204881.1495126235,2,00:00:03,"50,00 %","0,00 ₽",0,"0,00 %"
1855955084.1496006242,2,00:06:20,"0,00 %","0,00 ₽",0,"50,00 %"
185953435.1495201342,2,00:10:20,"0,00 %","0,00 ₽",0,"50,00 %"
1876527005.1497065988,2,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
1882233587.1473956251,2,00:00:31,"0,00 %","0,00 ₽",0,"0,00 %"
1884439846.1497006096,2,00:05:02,"0,00 %","0,00 ₽",0,"0,00 %"
1888710835.1479138247,2,00:00:20,"0,00 %","0,00 ₽",0,"0,00 %"
1915871352.1493982610,2,00:00:11,"50,00 %","0,00 ₽",0,"0,00 %"
1948654485.1493391613,2,00:00:55,"0,00 %","0,00 ₽",0,"0,00 %"
195078346.1497107187,2,00:00:00,"100,00 %","0,00 ₽",0,"0,00 %"
1952689752.1494415682,2,00:00:27,"0,00 %","0,00 ₽",0,"0,00 %"
1955603423.1496850836,2,00:00:10,"0,00 %","0,00 ₽",0,"0,00 %"
1956563224.1496847005,2,00:01:18,"0,00 %","0,00 ₽",0,"100,00 %"
1957297574.1495066521,2,00:02:49,"0,00 %","0,00 ₽",0,"0,00 %"
1975134582.1493712507,2,00:02:40,"0,00 %","0,00 ₽",0,"0,00 %"
1981852543.1493803500,2,00:08:56,"0,00 %","0,00 ₽",0,"0,00 %"
2001455335.1497337547,2,00:10:51,"0,00 %","0,00 ₽",0,"100,00 %"
2016419910.1496505483,2,00:00:50,"0,00 %","0,00 ₽",0,"0,00 %"
2017010078.1495693174,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
2020442317.1494602339,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
2067469576.1493711489,2,00:23:53,"0,00 %","0,00 ₽",0,"100,00 %"
20863053.1495101575,2,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
2094119351.1496140248,2,00:00:08,"50,00 %","0,00 ₽",0,"0,00 %"
2094850926.1495711190,2,00:00:23,"50,00 %","0,00 ₽",0,"0,00 %"
2102777977.1431437677,2,00:22:28,"0,00 %","0,00 ₽",0,"0,00 %"
2107024038.1495782117,2,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
2108411584.1494315353,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
2109474369.1486189540,2,00:00:22,"0,00 %","0,00 ₽",0,"0,00 %"
211582982.1493889586,2,00:00:32,"50,00 %","0,00 ₽",0,"0,00 %"
212013994.1497370942,2,00:01:06,"0,00 %","0,00 ₽",0,"0,00 %"
2127388523.1495786997,2,00:00:14,"0,00 %","0,00 ₽",0,"0,00 %"
219486012.1446705463,2,00:07:20,"0,00 %","0,00 ₽",0,"0,00 %"
272266781.1494425321,2,00:00:45,"0,00 %","0,00 ₽",0,"0,00 %"
280035673.1495981353,2,00:00:15,"0,00 %","0,00 ₽",0,"0,00 %"
312384902.1484645871,2,00:11:40,"50,00 %","0,00 ₽",0,"0,00 %"
334330244.1494499872,2,00:00:07,"50,00 %","0,00 ₽",0,"0,00 %"
340347234.1495042934,2,00:00:21,"50,00 %","0,00 ₽",0,"0,00 %"
372637414.1497450544,2,00:00:07,"50,00 %","0,00 ₽",0,"0,00 %"
395369071.1497557794,2,00:00:16,"0,00 %","0,00 ₽",0,"0,00 %"
404700439.1495021988,2,00:09:51,"0,00 %","0,00 ₽",0,"0,00 %"
415523270.1496240650,2,00:01:00,"0,00 %","0,00 ₽",0,"0,00 %"
426919394.1493822746,2,00:00:31,"0,00 %","0,00 ₽",0,"0,00 %"
429686072.1494004400,2,00:09:58,"0,00 %","0,00 ₽",0,"50,00 %"
441201740.1494965398,2,00:00:00,"50,00 %","0,00 ₽",0,"0,00 %"
447628419.1495025447,2,00:08:21,"0,00 %","0,00 ₽",0,"0,00 %"
